id,titulo,autor,precio,idEditorial
293,Agimba,Videler,387,10229
294,Vimbo,Thompkins,424,10991
295,Wordware,Swanson,479,10017
296,Feedspan,Tethcote,264,10003
297,Mynte,Dominetti,453,10299
298,Oba,Gaynesford,103,10362
299,Jaxworks,Rispen,481,10288
300,Wikido,Erington,384,10706
301,Brainverse,Ladbrooke,393,10436
302,Linklinks,Masterman,437,10237
303,Thoughtstorm,Sallings,335,10174
304,Latz,Kyd,478,10659
305,Teklist,Wastie,149,10415
306,Meejo,Lumsdale,236,10416
307,Meemm,Lester,226,10280
308,Oyoba,Degli Antoni,493,10329
309,Kwimbee,Engall,260,10119
310,Edgepulse,Bulgen,302,10527
311,Yotz,Dunn,125,10138
312,Edgeblab,Powton,456,10854
313,Feedspan,Jindrich,274,10417
314,Camimbo,Songist,427,10490
315,Meembee,Leffek,106,10961
316,Skyba,Daniel,150,10996
317,Edgetag,Moyser,150,10017
318,Youtags,Reddin,113,10016
319,Zazio,Victoria,368,10463
320,Dynabox,Gerner,242,10438
321,Edgeblab,Lilywhite,189,10085
322,Buzzster,Hughes,423,10058
323,Browsezoom,Keenor,315,10162
324,Leexo,Yeoman,144,10722
325,Devify,Hakeworth,285,10729
326,LiveZ,Bremeyer,498,10016
327,Jaxworks,Blanchet,81,10824
328,Riffpath,Hallagan,337,10809
329,Shufflebeat,Filmer,249,10056
330,Voonyx,McDermott,477,10692
331,Vinder,Mitchelson,179,10992
332,Einti,Grummitt,495,10955
333,Edgetag,Leyden,126,10191
334,Jamia,Swynfen,221,10201
335,Tekfly,Cubbino,100,10671
336,Innotype,Hannond,480,10859
337,Skyvu,Longega,230,10241
338,Dabtype,O'Rafferty,196,10913
339,Riffpedia,Souter,285,10230
340,Eamia,Gilhool,45,10947
341,Oozz,Cawood,16,10105
342,Fivespan,Bracey,236,10134
343,Realpoint,Winder,286,10559
344,Tagcat,Wasmer,427,10399
345,Flashset,Caseborne,341,10888
346,Linklinks,Wrefford,448,10457
347,Babbleset,Kennsley,493,10410
348,Buzzshare,Briston,226,10663
349,Avaveo,Garr,71,10532
350,Yambee,Tesyro,101,10551
351,Abatz,Hulle,182,10558
352,Myworks,Lynnett,259,10343
353,Podcat,Beels,473,10074
354,Jazzy,Viles,407,10917
355,Leexo,Lampkin,475,10080
356,Topicblab,Bygrove,277,10747
357,Centimia,Crighton,41,10393
358,Roodel,Craddock,47,10186
359,Npath,Evamy,189,10213
360,Thoughtstorm,Tassell,471,10624
361,Einti,Wallicker,210,10924
362,Camido,Joselevitz,417,10958
363,Thoughtstorm,Hanham,18,10100
364,Riffpath,Ronchetti,354,10848
365,Realfire,Leggan,376,10456
366,Dazzlesphere,Matuszak,295,10813
367,Wordpedia,Attawell,38,10188
368,Jetwire,Jurries,443,10816
369,Topiclounge,Forstall,355,10330
370,Bubbletube,Scanlan,309,10421
371,Zazio,Ormonde,407,10447
372,Oba,Canfield,139,10360
373,Aivee,Dalloway,419,10861
374,Realblab,Linklater,40,10869
375,Twimm,Binney,319,10747
376,Dazzlesphere,McBain,348,10909
377,Twitterlist,Birmingham,341,10473
378,Fatz,Sproule,108,10699
379,Lazzy,Gaylor,347,10249
380,Midel,Druery,90,10062
381,Rhynyx,Sterricks,246,10907
382,Topiczoom,Mordey,38,10512
383,Layo,Jedras,230,10893
384,Flashdog,Loncaster,317,10098
385,Kamba,Tripcony,155,10296
386,Twinte,Maddie,398,10534
387,Gigazoom,Elgar,81,10112
388,Linklinks,McLleese,256,10649
389,Oozz,Kausche,394,10615
390,Vimbo,Shallow,406,10180
391,Zoovu,Corwood,178,10486
392,Riffwire,Isenor,39,10821
393,Myworks,Garfield,157,10047
394,Realcube,Letterese,87,10105
395,Mycat,Maruska,103,10908
396,Twiyo,Darrington,168,10817
397,Kayveo,Sivills,70,10939
398,Topiclounge,Inglese,153,10066
399,Abatz,Gaskill,115,10192
400,Mycat,Georgelin,429,10547
401,Lazzy,Klaggeman,378,10682
402,Meeveo,Yankov,396,10368
403,Thoughtbridge,Loddon,388,10915
404,Youspan,Favill,82,10487
405,Avavee,Juarez,436,10494
406,Mudo,Wilding,253,10549
407,Mita,Dowsey,6,10495
408,Twimm,Lydiate,50,10589
409,Skaboo,Christoffe,237,10776
410,Skyndu,Munn,301,10114
411,Babbleset,Patmore,262,10366
412,Quimm,Larchier,197,10362
413,Lazzy,Moncey,458,10820
414,Babbleset,Raylton,179,10745
415,Browseblab,Churchouse,376,10697
416,Twinder,Cloke,384,10716
417,Dabvine,Ibbitson,21,10352
418,Blognation,Turfitt,347,10164
419,Mybuzz,Thornley,90,10194
420,Photojam,De Leek,236,10478
421,Skynoodle,Breeder,209,10447
422,Plambee,Frowde,454,10105
423,Rhycero,Klimke,455,10183
424,Mymm,Mowles,11,10866
425,Riffpedia,Ezzell,438,10567
426,Youspan,Udey,390,10916
427,Wordtune,Eccles,126,10694
428,Dabshots,Menendes,161,10869
429,Innotype,McGoldrick,33,10793
430,Oodoo,Tym,423,10540
431,Oyoloo,McLise,155,10128
432,Avavee,Cayzer,413,10820
433,Devpulse,Skeene,453,10550
434,Livetube,Klemmt,495,10629
435,Edgeify,Lynde,208,10564
436,InnoZ,Peter,272,10726
437,Oyoloo,Suarez,113,10006
438,Quatz,Kment,188,10369
439,Layo,Groom,213,10489
440,Devpulse,Jee,320,10349
441,Realmix,Baltzar,284,10981
442,Snaptags,Huntly,30,10361
443,Linkbuzz,Vickress,450,10101
444,Dabshots,Emberson,487,10034
445,Realfire,Painten,13,10456
446,Kimia,Bollin,374,10703
447,Thoughtbridge,Nortunen,54,10420
448,Jayo,Inker,425,10708
449,Wordware,Lambden,121,10343
450,Trudoo,Bree,337,10943
451,Vipe,Dunaway,57,10308
452,Nlounge,Barkworth,197,10617
453,Quatz,Krystek,246,10791
454,Edgeclub,Cupper,156,10910
455,Demimbu,McKenney,239,10729
456,Realcube,Mardoll,125,10486
457,Wordify,Caustic,476,10136
458,Oozz,Rittmeyer,91,10593
459,Photojam,Smitten,463,10247
460,Jaxworks,Radage,8,10024
461,Kwimbee,Brokenshire,68,10546
462,Youopia,Slack,157,10440
463,Dazzlesphere,Grammer,25,10819
464,Shuffletag,Snelman,352,10427
465,LiveZ,Harmon,105,10019
466,Ailane,Blakden,258,10854
467,Oba,Crawford,313,10951
468,Tagcat,Bosket,131,10975
469,Eayo,Borland,413,10139
470,Kazu,Garman,409,10705
471,Pixonyx,Theis,272,10504
472,Wikizz,Harrowing,366,10744
473,Jetwire,Berringer,235,10663
474,Npath,Almeida,266,10883
475,Gigazoom,Werrett,134,10830
476,Oba,Korn,477,10221
477,Riffpath,McCane,321,10089
478,Photospace,Boyack,390,10063
479,Zoomlounge,Warkup,427,10759
480,Zoombox,Gwinnel,326,10999
481,Topdrive,Henrych,313,10614
482,Skippad,Elliman,31,10126
483,Fanoodle,Errey,37,10647
484,Trupe,Rivlin,155,10220
485,Skinix,McGreay,197,10139
486,Rhynyx,Hutcheon,129,10113
487,Avamm,MacGill,308,10290
488,Yadel,Marchetti,367,10498
489,Devify,Draye,341,10961
490,Zava,Maylor,188,10113
491,Jaxnation,Berendsen,97,10806
492,Shuffletag,Sandcroft,37,10899
493,Mymm,Gentzsch,345,10839
494,Kanoodle,Brannon,99,10190
495,Meezzy,Shone,460,10907
496,Youbridge,Forsdicke,417,10944
497,Eazzy,Echallier,225,10902
498,Brainverse,Claris,317,10524
499,Gigashots,Posthill,57,10696
500,Quaxo,Entwhistle,27,10162
501,Trudeo,Hanssmann,232,10155
502,Bubblemix,Pirrone,264,10383
503,Buzzster,Freckleton,468,10401
504,Brainlounge,Valentin,366,10647
505,Vinte,Bambra,32,10910
506,Avaveo,McAllester,213,10721
507,Browsecat,Girodin,185,10789
508,Snaptags,Dmiterko,132,10905
509,Meezzy,Fairall,42,10448
510,Reallinks,Muckart,394,10539
511,Muxo,Laybourne,2,10797
512,Brightdog,Titford,119,10762
513,Youopia,Gavrieli,402,10920
514,Yadel,McCreery,393,10598
515,Divavu,Sweetnam,158,10644
516,Vinder,Kless,418,10424
517,Yakijo,Durtnell,64,10355
518,Eabox,Luxford,70,10118
519,Zooxo,Matissoff,48,10893
520,Flashspan,Boylan,88,10698
521,Yabox,Prewett,360,10917
522,Yacero,Gibbetts,90,10932
523,Tagopia,Plaskett,14,10659
524,Yodel,Trustram,494,10066
525,Demizz,Lutz,133,10056
526,Realblab,Groves,399,10579
527,Aimbo,Snellman,455,10149
528,Innojam,Beecker,330,10725
529,Vidoo,Humbatch,302,10186
530,Tagchat,Yurkov,81,10299
531,Skyvu,Kores,25,10244
532,Brainlounge,Cosins,8,10312
533,Thoughtstorm,Proom,308,10440
534,Twimbo,Leat,213,10169
535,Cogilith,Rolf,135,10021
536,Miboo,Chaff,47,10477
537,Jetpulse,Nisby,258,10539
538,Devshare,Dullard,295,10516
539,Photofeed,Toulson,328,10853
540,Devify,Lipsett,57,10056
541,Jazzy,Benaine,401,10350
542,Browsedrive,Earwicker,404,10971
543,Zooxo,Peete,34,10959
544,Ooba,McGuinley,365,10464
545,Youtags,Prosch,452,10380
546,Shufflebeat,Tidbold,419,10255
547,Thoughtstorm,Featherstonhalgh,279,10993
548,Blogpad,Forrest,267,10767
549,Zoomlounge,Benda,443,10181
550,Gabcube,Urridge,454,10854
551,Jamia,Miskin,147,10807
552,Camimbo,Embling,20,10313
553,Tagfeed,Siemon,204,10171
554,Thoughtmix,Moresby,349,10297
555,Rhybox,Kennaway,170,10398
556,Babbleblab,Phillip,215,10081
557,Tagfeed,Sacase,381,10678
558,Meemm,Reihill,39,10314
559,Einti,Semrad,84,10686
560,Zoombox,Allett,280,10006
561,Yodoo,Cypler,288,10932
562,Roomm,Beagrie,453,10114
563,Meevee,Ladson,486,10315
564,Babblestorm,Chrispin,273,10699
565,Zoombeat,Dayborne,228,10161
566,Wordtune,Steadman,44,10354
567,Flashspan,Perford,52,10399
568,Babbleset,Whitwham,286,10264
569,Jetpulse,Cristou,301,10353
570,Yadel,Gillise,338,10892
571,Jatri,Keyser,157,10149
572,Voonder,Grenkov,360,10869
573,Eayo,Hadley,219,10783
574,Meevee,Filippazzo,293,10739
575,Lazzy,Kaser,162,10581
576,Topiczoom,Strotone,186,10960
577,Twitterworks,Karlolak,1,10535
578,Viva,Goggins,482,10112
579,Innojam,Haversham,368,10044
580,Skilith,Bowdery,270,10241
581,Tazz,Smetoun,186,10291
582,Kamba,Puttock,174,10008
583,Cogidoo,Eriksson,273,10347
584,Quimba,Schurig,251,10397
585,Zoomlounge,Fairn,450,10969
586,Buzzster,Vlach,97,10152
587,Quamba,Neat,258,10735
588,Mita,Saing,331,10981
589,Jaxspan,Cowdery,482,10580
590,Meejo,Bess,269,10676
591,Wikizz,Brunger,418,10129
592,Quatz,Wane,186,10318
593,Skidoo,Randalston,205,10198
594,Centidel,Hannaway,182,10430
595,Eire,Bilsford,365,10115
596,Buzzshare,Labrone,244,10068
597,Brainsphere,Gartsyde,345,10746
598,Zava,Connochie,200,10437
599,Avamba,Feacham,216,10312
600,Avamba,Andreia,129,10928
601,Jatri,Gerram,252,10351
602,Skyble,Knevit,380,10245
603,Tazz,Boman,20,10285
604,Divavu,Shark,359,10756
605,Tazz,Shingler,271,10027
606,Yakitri,Devo,62,10344
607,Edgeblab,Neubigin,361,10973
608,Skinix,Freeborn,416,10170
609,Skilith,Duckit,79,10839
610,Blogpad,Sterman,291,10119
611,Wordware,Normaville,392,10747
612,Chatterpoint,Meacher,445,10698
613,Browsezoom,MacGaughey,357,10746
614,Yakidoo,Cherryman,179,10118
615,Quimba,Sames,391,10198
616,Voolith,Hay,423,10183
617,Thoughtbeat,Edgcombe,395,10448
618,Zooveo,McKirdy,370,10066
619,LiveZ,Tomsu,194,10456
620,Kwinu,Fullerton,442,10578
621,Fadeo,Rivlin,301,10874
622,Oodoo,Wyne,54,10940
623,Browseblab,Gaye,281,10791
624,Tagpad,Blitz,136,10005
625,Yata,Hearson,444,10356
626,Meeveo,Emmet,70,10757
627,Quatz,Dinsmore,28,10772
628,Brightdog,Frayling,122,10967
629,Linkbridge,Roscoe,130,10103
630,Thoughtworks,Minithorpe,208,10657
631,Voonte,Cuolahan,363,10272
632,Chatterpoint,Lannen,437,10557
633,Bubbletube,Conichie,278,10052
634,Yotz,Caulliere,283,10722
635,Kimia,Harman,365,10016
636,Zoombeat,Bispo,279,10515
637,Bluejam,Drinkeld,64,10546
638,Layo,Bleackley,429,10524
639,Wikizz,Niven,62,10550
640,Aibox,Plail,370,10531
641,Divanoodle,Brolly,353,10903
642,Voomm,Giddens,333,10199
643,Feedfish,Jarrard,150,10988
644,Roomm,Dorkins,329,10144
645,Yodel,Immer,9,10826
646,Einti,Dalligan,462,10959
647,Oyondu,Ladley,450,10803
648,Realfire,McLanachan,431,10987
649,Lazz,Lewer,76,10424
650,Yamia,Iacovo,46,10308
651,Skalith,Bleiman,138,10796
652,Quire,Almack,118,10863
653,Brainbox,Wride,79,10422
654,Cogidoo,Holde,75,10323
655,Topicshots,Jeannesson,19,10676
656,Camimbo,Ruff,194,10842
657,Fivechat,Shippam,220,10281
658,Eare,Giamelli,372,10667
659,Abatz,Pear,315,10745
660,Twimbo,Dillingstone,415,10622
661,Skinte,Parlett,110,10276
662,Rhyloo,Swalwel,413,10741
663,Thoughtstorm,Sleigh,125,10670
664,Realcube,Finley,96,10565
665,Browsedrive,Schermick,41,10454
666,Skipstorm,Hoogendorp,369,10596
667,Skaboo,Soppett,238,10405
668,Roodel,McGreay,252,10774
669,Twitterwire,Starten,161,10744
670,Zoombeat,Allsobrook,437,10360
671,Wikido,Longworth,4,10277
672,LiveZ,Bullent,404,10133
673,Voonyx,Emmert,43,10903
674,Edgeify,Huckett,190,10790
675,Yotz,Giraldez,30,10779
676,Twitterbeat,Klaus,313,10328
677,Trunyx,Rentoll,472,10930
678,Bubblebox,Jonsson,231,10608
679,DabZ,Dunsford,262,10307
680,Leenti,Julien,133,10819
681,Divavu,Claris,190,10144
682,Eidel,McNirlan,487,10048
683,Thoughtstorm,Boughtflower,386,10272
684,Eidel,Bonds,250,10283
685,Skyvu,Tarborn,40,10962
686,Skippad,Oman,149,10934
687,Trupe,Pumphreys,491,10852
688,Zoonder,Lamlin,132,10560
689,Skibox,Moorey,486,10413
690,Camido,Karpfen,221,10592
691,Oyondu,Ridsdell,411,10254
692,Kazu,Thackham,416,10674
693,Bubbletube,McMonies,2,10273
694,Wordify,Cadore,366,10456
695,Bubbletube,Lockhead,8,10235
696,Quamba,Burvill,414,10827
697,Yacero,Ebbotts,90,10891
698,Brainlounge,Quincey,170,10385
699,Muxo,Willerstone,59,10801
700,Avaveo,Maffulli,174,10424
701,Photobean,Cleaves,12,10543
702,Dabshots,Bragginton,377,10048
703,Blognation,Willcock,322,10702
704,Oloo,Cunio,403,10081
705,Voolia,Simoneau,92,10791
706,Livetube,Carding,236,10011
707,Janyx,McCloud,34,10218
708,Muxo,Fernant,63,10274
709,Blogpad,MacCall,265,10685
710,Ozu,Caston,202,10559
711,Topicshots,Emerton,60,10015
712,Browsecat,Brunel,1,10473
713,Skibox,Dunbobin,101,10247
714,Fivebridge,Orlton,174,10400
715,Plambee,Morales,51,10646
716,Centimia,Brecken,208,10921
717,Oozz,Woodrow,128,10166
718,Skipstorm,Gerbel,6,10906
719,Fivechat,Brandolini,193,10309
720,Twinder,Ruane,458,10928
721,Plambee,Dingle,387,10484
722,Centimia,Acedo,34,10539
723,Youtags,Warstall,139,10748
724,Wikido,Ostrich,480,10042
725,Twitterbeat,Butterwick,169,10311
726,Tagchat,Spracklin,306,10643
727,Flipopia,Shew,450,10507
728,Flipstorm,Trevear,440,10499
729,Avamba,Pellamont,120,10889
730,Trilith,Ploughwright,434,10534
731,Janyx,Gaylard,430,10475
732,Oba,Pantecost,358,10912
733,Chatterpoint,Matteotti,357,10292
734,Youtags,Naisey,107,10090
735,Topicstorm,Weymouth,481,10401
736,JumpXS,Jevons,40,10759
737,Nlounge,Weldrick,194,10741
738,Blogspan,Downing,86,10787
739,Wordify,Toffoletto,415,10275
740,Zazio,Ingliby,362,10827
741,Fivebridge,McSporon,464,10467
742,Gabtype,Bellerby,254,10516
743,Brainlounge,Reckus,491,10341
744,Kamba,Cloy,328,10714
745,InnoZ,Jeans,272,10614
746,Topicstorm,Hukin,409,10235
747,Mudo,Belcher,327,10833
748,Quimba,Whittall,335,10191
749,Yombu,Foxley,179,10732
750,Feedmix,Awin,370,10812
751,Kwinu,Grinval,408,10580
752,Fivespan,Burdess,462,10935
753,Myworks,Dabling,369,10028
754,Twitterwire,Silson,222,10231
755,Skipstorm,Hendrickson,288,10791
756,Zoombox,Pardew,378,10618
757,Youspan,McKinstry,366,10478
758,Zoomcast,Whitehurst,103,10278
759,Ntags,Hiddersley,386,10265
760,Yambee,Sudy,338,10723
761,Skipstorm,Kidstoun,436,10536
762,Vipe,Yakunkin,14,10586
763,Wikizz,Peery,474,10374
764,Yodel,O'Sculley,391,10404
765,Yoveo,Hawe,98,10553
766,Kazio,Harberer,469,10171
767,Browsecat,Bains,428,10830
768,Muxo,Garbar,39,10534
769,Skyvu,Lorenzini,245,10372
